ID,building_visited,choice,Speed,Laziness,Destination floor,Fatigue,Luggage,Elevator speed,"Environmental
consciousness",Temperature,Appeal,"Number of people
waiting for the elevator",Peers,measurement_no,Health
P0PRd5jd8,Lágymányos Déli Tömb,0,7,8,9,9,0,6,1,0,0,0,no_peers,1,NA
E8B1Ye7kd,BTK I épület,1,3,9,8,8,0,7,5,1,0,0,no_peers,1,NA
P0Kd6bjPD,"BGGYK A, B épület",0,0,4,8,10,8,0,5,0,0,4,peers_stairs,1,NA
5NvkLX8yl,BTK Rákóczi utca 5 (R5),0,10,5,10,6,3,8,3,10,0,0,no_peers,1,NA
jbVbNon1Z,"BGGYK A, B épület",1,0,0,8,0,0,5,3,0,2,8,no_peers,1,NA
jbeLMmWLo,PPK Izabella utca,1,3,4,4,6,5,6,5,6,3,6,peers_stairs,1,NA
xXYwL50k1,PPK Kazinczy utca,0,5,7,3,3,0,8,1,10,5,0,peers_elevator,1,NA
jbJ58GADZ,PPK Izabella utca,1,10,0,4,9,7,5,5,9,3,4,NA,1,NA
LE7G1RvbM,PPK Izabella utca,1,7,1,4,2,0,2,1,0,1,2,no_peers,1,NA
D2kP3R2wr,Egyéb:,1,0,0,0,0,0,0,10,10,5,10,no_peers,1,NA
8xVK1apdZ,BTK Rákóczi utca 5 (R5),1,7,0,0,0,0,5,10,0,1,0,no_peers,1,NA
nWPvK5e6M,PPK Kazinczy utca,0,10,8,8,10,0,4,0,0,10,0,no_peers,1,NA
8xPD2xGKE,Lágymányos Déli Tömb,0,8,9,1,4,0,6,2,0,0,3,no_peers,1,NA
bEmqb6KLw,"BGGYK A, B épület",1,6,8,10,7,6,10,10,3,0,0,no_peers,1,NA
yeL2QZ5JK,PPK Kazinczy utca,1,0,0,3,0,0,2,10,0,0,0,no_peers,1,NA
BvAqRAqp4,BTK Rákóczi utca 5 (R5),0,10,7,10,7,1,3,3,0,0,0,peers_elevator,1,NA
MBym1rbko,PPK Kazinczy utca,1,0,0,6,4,5,1,10,0,6,0,no_peers,1,NA
jbPXRBAGZ,BTK F épület,1,5,0,0,0,0,0,5,6,5,0,peers_stairs,1,NA
BvXP2m2RB,TÓK,1,10,5,10,10,4,0,10,8,10,10,no_peers,1,NA
nWG1Jlypd,Lágymányos Déli Tömb,1,8,2,6,8,0,8,0,0,1,10,no_peers,1,NA
RDJMyaB2L,TÓK,1,5,3,6,7,7,6,7,5,0,0,peers_elevator,1,NA
m5j7oGA1M,BTK Rákóczi utca 5 (R5),0,10,0,10,1,0,2,0,0,1,3,peers_elevator,1,NA
P0ZqMN23E,Lágymányos Északi Tömb,1,7,1,6,5,2,1,5,0,2,10,no_peers,1,NA
orD2VnvQ3,Lágymányos Déli Tömb,1,6,0,8,2,5,5,5,5,5,6,peers_elevator,1,NA
LEG7Jjr0k,TÓK,1,0,0,10,4,6,4,10,0,10,1,peers_stairs,1,NA
WErqpDkZJ,Lágymányos Déli Tömb,0,7,0,10,9,0,6,0,0,0,5,no_peers,1,NA
lKrBe21PW,PPK Kazinczy utca,1,0,0,0,1,1,8,8,7,2,2,peers_stairs,1,NA
ZwkNE46ZB,Lágymányos Déli Tömb,0,0,3,1,4,2,2,0,2,2,1,peers_elevator,1,NA
5N1WqDDZR,PPK Izabella utca,1,0,0,1,0,0,5,4,0,2,0,no_peers,1,NA
P0wvY8Plx,Lágymányos Déli Tömb,0,2,10,6,8,2,0,5,2,0,7,peers_elevator,1,NA
RDjZdQ1Y3,PPK Kazinczy utca,1,0,3,8,4,0,3,1,0,3,7,peers_stairs,1,NA
lKM7vwBwL,TÓK,1,5,0,0,0,0,1,3,0,7,10,peers_stairs,1,NA
RDMRX5GPK,BTK I épület,1,10,0,0,3,0,4,3,2,4,0,no_peers,1,NA
282Ld2GPr,PPK Kazinczy utca,1,10,0,0,0,0,7,10,2,2,0,no_peers,1,NA
rYBZQomLv,PPK Kazinczy utca,1,4,0,0,5,0,0,1,0,1,0,no_peers,1,NA
xXkbA2wx2,"BGGYK A, B épület",1,9,5,9,10,6,5,10,10,0,5,no_peers,1,NA
4NajwMaaM,"BGGYK A, B épület",1,0,10,5,10,4,4,10,5,10,4,peers_stairs,1,NA
RDwmELd7K,BTK F épület,1,2,3,4,1,1,2,3,2,7,5,peers_stairs,1,NA
nW10b0reX,Lágymányos Északi Tömb,1,8,0,0,5,1,5,5,0,2,10,no_peers,1,NA
Q38VlxjXX,Lágymányos Déli Tömb,1,5,0,3,10,2,2,5,5,2,7,no_peers,1,NA
orjMbJJ0M,Lágymányos Északi Tömb,1,9,0,0,4,0,0,4,3,5,0,no_peers,1,NA
jbVvE7j64,BTK D épület,0,10,10,8,6,0,9,2,2,2,2,no_peers,1,NA
P0ymvQdkx,Lágymányos Északi Tömb,0,8,8,10,7,4,0,1,4,0,0,peers_elevator,1,NA
RDmRXd2ZG,Lágymányos Déli Tömb,0,8,3,3,0,2,3,0,0,0,0,no_peers,1,NA
AnlRr2B63,Lágymányos Déli Tömb,1,0,0,3,2,0,3,4,0,6,6,no_peers,1,NA
RDaJ813b3,BTK C épület,1,10,0,3,7,6,6,10,6,0,7,no_peers,1,NA
yeYPYDK6p,Lágymányos Déli Tömb,0,5,5,5,4,2,8,2,0,0,0,peers_elevator,1,NA
jbAvGDqyZ,BTK Rákóczi utca 5 (R5),0,9,9,10,10,1,7,3,9,1,1,peers_elevator,1,NA
lKB1Pjlj7,PPK Izabella utca,1,10,3,5,3,1,10,8,0,0,10,peers_stairs,1,NA
YwPWjpv47,Lágymányos Déli Tömb,1,2,4,4,2,0,8,8,9,5,1,peers_stairs,1,NA
v0wKAYvAe,BTK Rákóczi utca 5 (R5),1,8,1,10,6,5,3,7,7,4,1,peers_elevator,1,NA
VkQ260p0v,PPK Izabella utca,1,4,3,3,7,1,2,4,5,7,4,peers_elevator,1,NA
E804W5EB3,PPK Kazinczy utca,1,4,1,0,1,0,3,3,3,1,1,no_peers,1,NA
YwKpYK80X,Lágymányos Déli Tömb,0,8,8,8,8,2,8,2,2,1,1,peers_elevator,1,NA
bER8nWXXN,Lágymányos Déli Tömb,1,3,0,6,0,0,10,8,0,0,0,no_peers,1,NA
m5YBwjjVk,BTK Rákóczi utca 5 (R5),0,1,2,10,9,0,10,0,0,0,0,no_peers,1,NA
5NWdqeKJJ,Egyéb:,1,8,0,0,0,0,3,0,0,5,3,peers_stairs,1,NA
WEEd17PWM,Egyéb:,0,8,5,7,6,3,5,0,0,0,0,no_peers,1,NA
rYBw7xP1e,BGGYK C épület,0,10,10,10,10,9,10,10,10,0,4,peers_elevator,1,NA
lKxPY1A35,Lágymányos Déli Tömb,0,7,6,10,5,5,2,3,1,5,3,peers_elevator,1,NA
JN4lDolMx,Lágymányos Déli Tömb,0,5,8,10,7,7,2,0,8,1,2,peers_elevator,1,NA
4NaWnNZa3,Lágymányos Déli Tömb,0,1,1,8,8,8,8,3,1,1,1,no_peers,1,NA
VkYwmWjB7,Lágymányos Déli Tömb,0,10,10,10,2,1,9,0,0,0,0,no_peers,1,NA
qNPeoVq37,BTK I épület,1,10,0,1,0,0,6,0,9,0,8,no_peers,1,NA
E8B73NbxJ,TÓK,0,6,4,7,5,2,4,1,2,2,4,peers_elevator,1,NA
rYE1N2Nqe,PPK Kazinczy utca,1,8,1,5,8,9,5,8,2,2,3,peers_stairs,1,NA
aEK7x3qRD,Lágymányos Déli Tömb,1,1,2,4,2,2,1,1,0,0,4,no_peers,1,NA
7Vk7rKppr,Lágymányos Déli Tömb,1,0,0,0,2,0,5,2,0,0,7,no_peers,1,NA
LE03rGleK,BTK C épület,1,0,0,0,0,0,5,10,0,10,0,peers_stairs,1,NA
RDVd2AaVL,"BGGYK A, B épület",0,8,8,8,8,4,6,5,7,5,5,peers_elevator,1,NA
